"countrycode","days_to_t0"
"ABW",229
"AFG",112
"AGO",212
"ALB",147
"AND",231
"ARE",94
"ARG",93
"ARM",103
"AUS",82
"AUT",77
"AZE",103
"BEL",73
"BEN",178
"BFA",189
"BGD",106
"BGR",114
"BHR",103
"BHS",226
"BIH",104
"BLR",100
"BOL",119
"BRA",82
"BWA",224
"CAF",153
"CAN",82
"CHE",74
"CHL",86
"CHN",25
"CIV",115
"CMR",109
"COD",132
"COG",173
"COL",93
"CPV",178
"CRI",150
"CUB",111
"CYP",187
"CZE",83
"DEU",70
"DJI",117
"DNK",78
"DOM",92
"DZA",95
"ECU",85
"EGY",97
"ESP",68
"EST",96
"ETH",152
"FIN",88
"FRA",69
"GAB",135
"GBR",73
"GEO",197
"GHA",111
"GIN",118
"GMB",221
"GNB",141
"GNQ",145
"GRC",89
"GTM",132
"HND",124
"HRV",94
"HTI",147
"HUN",101
"IDN",88
"IND",90
"IRL",84
"IRN",63
"IRQ",98
"ISL",90
"ISR",83
"ITA",61
"JAM",222
"JOR",171
"JPN",81
"KAZ",105
"KEN",142
"KGZ",131
"KOR",57
"KWT",103
"LBN",143
"LBR",195
"LBY",189
"LKA",141
"LSO",235
"LTU",103
"LUX",85
"LVA",139
"MAR",97
"MDA",99
"MDG",159
"MDV",137
"MEX",91
"MKD",108
"MLI",145
"MLT",223
"MNE",192
"MOZ",189
"MRT",162
"MWI",179
"MYS",81
"NAM",199
"NER",169
"NGA",116
"NIC",155
"NLD",76
"NOR",76
"NPL",150
"NZL",101
"OMN",108
"PAK",86
"PAN",91
"PER",92
"PHL",89
"POL",86
"PRI",108
"PRT",81
"PRY",155
"PSE",174
"QAT",96
"ROU",87
"RUS",88
"RWA",182
"SAU",87
"SDN",130
"SEN",123
"SGP",93
"SLE",161
"SLV",134
"SOM",132
"SRB",93
"SSD",157
"SUR",201
"SVK",109
"SVN",98
"SWE",76
"SWZ",189
"SYR",221
"TGO",219
"THA",86
"TJK",137
"TUN",124
"TUR",83
"UGA",192
"UKR",95
"URY",198
"USA",71
"UZB",106
"VEN",146
"VNM",234
"XKO",142
"YEM",177
"ZAF",88
"ZMB",149
"ZWE",196
