,countrycode,country,gni_per_capita
0,ABW,Aruba,36295.791135884305
1,AFG,Afghanistan,2229.65797849241
2,AGO,Angola,6360.55108485661
3,AIA,Anguilla,
4,ALB,Albania,13071.095441848898
5,AND,Andorra,
6,ARE,United Arab Emirates,67462.0953049371
7,ARG,Argentina,21190.176611877
8,ARM,Armenia,13894.013019589
9,ATG,Antigua and Barbuda,18922.6233973168
10,AUS,Australia,48084.8420670777
11,AUT,Austria,55533.4796953767
12,AZE,Azerbaijan,13513.397268115401
13,BDI,Burundi,753.908747534343
14,BEL,Belgium,51619.4312610867
15,BEN,Benin,3254.2456270014695
16,BES,"Bonaire, Sint Eustatius and Saba",
17,BFA,Burkina Faso,2132.95557021836
18,BGD,Bangladesh,4976.20914827272
19,BGR,Bulgaria,22405.6189840439
20,BHR,Bahrain,43670.5909892488
21,BHS,Bahamas,33481.0155739278
22,BIH,Bosnia and Herzegovina,14871.8111367895
23,BLR,Belarus,18546.487129986002
24,BLZ,Belize,6381.59768200292
25,BMU,Bermuda,
26,BOL,Bolivia,8553.783786085
27,BRA,Brazil,14262.934588202901
28,BRB,Barbados,15079.158389608601
29,BRN,Brunei,63965.092792476906
30,BTN,Bhutan,10327.3785755211
31,BWA,Botswana,16437.141417634
32,CAF,Central African Republic,959.3090454497279
33,CAN,Canada,48527.0357257404
34,CHE,Switzerland,67888.1314507739
35,CHL,Chile,23261.297256874903
36,CHN,China,15187.154155523302
37,CIV,Côte d'Ivoire,4866.04556645904
38,CMR,Cameroon,3580.9027372221794
39,COD,Democratic Republic of the Congo,1062.5430041601899
40,COG,Republic of Congo,2879.1909851168602
41,COL,Colombia,14256.6708530627
42,COM,Comoros,3084.8146828000395
43,CPV,Cape Verde,7019.168144240351
44,CRI,Costa Rica,18486.3714110106
45,CUB,Cuba,
46,CUW,Curaçao,25693.770158910498
47,CYM,Cayman Islands,41638.5494394425
48,CYP,Cyprus,38206.8404942115
49,CZE,Czech Republic,37294.2380336301
50,DEU,Germany,55154.6495573688
51,DJI,Djibouti,5689.34896617677
52,DMA,Dominica,11051.7754569074
53,DNK,Denmark,57552.5559784054
54,DOM,Dominican Republic,17591.065218358897
55,DZA,Algeria,11371.701571086202
56,ECU,Ecuador,11043.9825469286
57,EGY,Egypt,11079.2528929273
58,ERI,Eritrea,
59,ESH,Western Sahara,
60,ESP,Spain,40418.8999723115
61,EST,Estonia,34643.3437012131
62,ETH,Ethiopia,2206.5343777539897
63,FIN,Finland,48511.397799372404
64,FJI,Fiji,12610.809801661799
65,FLK,Falkland Islands,
66,FRA,France,46536.686249236394
67,FRO,Faroe Islands,
68,GAB,Gabon,14058.120153041698
69,GBR,United Kingdom,45686.388076626296
70,GEO,Georgia,13701.1208760553
71,GGY,Guernsey,
72,GHA,Ghana,4863.97503028016
73,GIB,Gibraltar,
74,GIN,Guinea,2405.18149692222
75,GMB,Gambia,2167.88347249082
76,GNB,Guinea-Bissau,1996.0429265447303
77,GNQ,Equatorial Guinea,13944.1322313152
78,GRC,Greece,29555.1694264078
79,GRD,Grenada,14711.9213439498
80,GRL,Greenland,
81,GTM,Guatemala,8494.085110856791
82,GUM,Guam,
83,GUY,Guyana,9074.54415683732
84,HND,Honduras,5308.45259838597
85,HRV,Croatia,28069.8483714647
86,HTI,Haiti,1708.80904336267
87,HUN,Hungary,29840.3409734142
88,IDN,Indonesia,11459.0969211849
89,IMN,Isle of Man,
90,IND,India,6681.34690427478
91,IRL,Ireland,65762.20504679291
92,IRN,Iran,14562.913297101499
93,IRQ,Iraq,10890.9661916743
94,ISL,Iceland,54377.5001986401
95,ISR,Israel,39567.763485384305
96,ITA,Italy,42776.3569163437
97,JAM,Jamaica,9296.6799875818
98,JEY,Jersey,
99,JOR,Jordan,9806.61102378117
100,JPN,Japan,42563.6317364637
101,KAZ,Kazakhstan,22857.4608169247
102,KEN,Kenya,4243.62555965515
103,KGZ,Kyrgyzstan,4864.39035134928
104,KHM,Cambodia,4246.17810652742
105,KNA,Saint Kitts and Nevis,24086.5713813143
106,KOR,South Korea,43043.710571372205
107,KWT,Kuwait,59333.4756940256
108,LAO,Laos,6874.7592134386205
109,LBN,Lebanon,14654.5339451571
110,LBR,Liberia,1319.38751495325
111,LBY,Libya,13686.020447995701
112,LCA,Saint Lucia,14139.665701278402
113,LIE,Liechtenstein,
114,LKA,Sri Lanka,12707.366242818998
115,LSO,Lesotho,3150.6201307306105
116,LTU,Lithuania,34264.1238301971
117,LUX,Luxembourg,72475.6812019285
118,LVA,Latvia,29410.0871972237
119,MAR,Morocco,7368.360267518349
120,MCO,Monaco,
121,MDA,Moldova,12970.852086943501
122,MDG,Madagascar,1596.28107991686
123,MDV,Maldives,16564.4229654514
124,MEX,Mexico,19159.8396708757
125,MKD,Macedonia,15864.630738001
126,MLI,Mali,2268.77277968675
127,MLT,Malta,39554.5207833331
128,MMR,Myanmar,4851.54520827769
129,MNE,Montenegro,21399.247125947
130,MNG,Mongolia,10838.674295926701
131,MNP,Northern Mariana Islands,
132,MOZ,Mozambique,1250.40568832637
133,MRT,Mauritania,5134.5701242123905
134,MSR,Montserrat,
135,MUS,Mauritius,24407.6944963746
136,MWI,Malawi,1034.67763754961
137,MYS,Malaysia,27534.0985632531
138,NAM,Namibia,9356.6736069005
139,NCL,New Caledonia,
140,NER,Niger,1200.89846346738
141,NGA,Nigeria,4928.92448925559
142,NIC,Nicaragua,5564.86004289553
143,NLD,Netherlands,57013.8278018364
144,NOR,Norway,66180.44754280441
145,NPL,Nepal,3456.7062131744397
146,NZL,New Zealand,40558.7075404077
147,OMN,Oman,26592.7532261192
148,PAK,Pakistan,5005.03489337163
149,PAN,Panama,28614.4061544348
150,PER,Peru,12252.3001760349
151,PHL,Philippines,9777.79811708797
152,PNG,Papua New Guinea,4267.44321910109
153,POL,Poland,31622.5530218615
154,PRI,Puerto Rico,22575.835622578797
155,PRT,Portugal,33966.827561712096
156,PRY,Paraguay,12223.9404466041
157,PSE,Palestina,6581.9375600259
158,PYF,French Polynesia,
159,QAT,Qatar,94819.5784405326
160,ROU,Romania,29497.231637342404
161,RUS,Russia,26157.0471095464
162,RWA,Rwanda,2155.33405420523
163,SAU,Saudi Arabia,47495.4269689778
164,SDN,Sudan,3828.6602186371206
165,SEN,Senegal,3309.3857335665803
166,SGP,Singapore,88155.21431181481
167,SLE,Sierra Leone,1594.3080379405098
168,SLV,El Salvador,8359.11514408538
169,SMR,San Marino,
170,SOM,Somalia,
171,SRB,Serbia,17191.6687286766
172,SSD,South Sudan,
173,STP,São Tomé and Príncipe,3904.16324878385
174,SUR,Suriname,14335.5736602169
175,SVK,Slovakia,30266.9761188856
176,SVN,Slovenia,37423.2997620672
177,SWE,Sweden,54507.8050447004
178,SWZ,Swaziland,7844.29342722687
179,SXM,Sint Maarten,31339.6753996454
180,SYC,Seychelles,25224.4707472977
181,SYR,Syria,
182,TCA,Turks and Caicos Islands,25041.5615460552
183,TCD,Chad,1555.3735752994598
184,TGO,Togo,1602.34934023553
185,THA,Thailand,17781.190932459598
186,TJK,Tajikistan,3614.1033142374395
187,TLS,Timor-Leste,4379.01478210749
188,TTO,Trinidad and Tobago,26502.925548927902
189,TUN,Tunisia,10268.5140250377
190,TUR,Turkey,27700.8948087171
191,TWN,Taiwan,
192,TZA,Tanzania,2472.8247871151502
193,UGA,Uganda,2123.2693499645497
194,UKR,Ukraine,13215.935703041001
195,URY,Uruguay,20091.3460153413
196,USA,United States,62666.5079148546
197,UZB,Uzbekistan,6652.23101932006
198,VAT,Vatican City,
199,VCT,Saint Vincent and the Grenadines,12158.006240474399
200,VEN,Venezuela,
201,VGB,British Virgin Islands,
202,VIR,"Virgin Islands, U.S.",
203,VNM,Vietnam,7432.706805549759
204,WRD,World,
205,XKO,Kosovo,
206,YEM,Yemen,
207,ZAF,South Africa,12129.230059444399
208,ZMB,Zambia,3330.7846561391198
209,ZWE,Zimbabwe,2942.0295311550103
